"strain","resistance","UMAP01","UMAP02","UMAP03","UMAP04","UMAP05","UMAP06","UMAP07","UMAP08","UMAP09","UMAP10"
"DA62886","HR",-5.30345296859741,0.474326759576797,-3.25541305541992,1.11821758747101,-0.696301281452179,1.14406585693359,1.13525950908661,0.865120589733124,1.45348787307739,-4.70790195465088
"DA62888","nonHR",-4.46174287796021,1.59987056255341,-3.11556696891785,1.59512341022491,0.212003499269485,1.8279345035553,0.938506126403809,1.79006135463715,1.09051239490509,-3.9006667137146
"DA62890","nonHR",-5.87425136566162,1.93741297721863,-3.09196329116821,1.08598852157593,-0.130064725875854,1.18734550476074,1.53768122196198,1.55205464363098,1.37658500671387,-3.60945510864258
"DA62892","nonHR",7.75207996368408,4.94495725631714,4.03570318222046,0.519356071949005,-2.20690369606018,-1.08986496925354,-0.569845259189606,-2.95838642120361,-0.451341956853867,3.16475653648376
"DA62894","nonHR",-5.01174068450928,1.07895445823669,-3.17478919029236,0.571667671203613,-0.908100306987762,1.25871384143829,1.55801510810852,0.774077713489532,1.18628072738647,-3.39675998687744
"DA62896","nonHR",-4.43663597106934,0.980211436748505,-2.90404605865479,0.542945921421051,-1.10226821899414,1.17552053928375,1.36341798305511,0.478406667709351,1.2737101316452,-4.24491882324219
"DA62898","nonHR",-5.62146711349487,1.01180386543274,-3.54231858253479,1.71865749359131,0.0323490649461746,1.47150850296021,1.02692174911499,1.81194567680359,1.38438141345978,-4.11927080154419
"DA62900","nonHR",6.67956399917603,2.45186877250671,2.6860945224762,-2.33164644241333,0.766886234283447,1.3094367980957,-1.87224590778351,-0.828911125659943,0.299318134784698,0.535339295864105
"DA62902","HR",-1.25142216682434,-11.1632537841797,2.59893393516541,-0.0252732764929533,2.25370979309082,-5.03139591217041,-0.55676531791687,0.298742413520813,-4.38853979110718,7.047438621521
"DA62904","nonHR",-6.85239410400391,1.48222899436951,-3.49430847167969,1.98496222496033,0.196595519781113,1.04708755016327,0.912336468696594,1.86234176158905,1.5352076292038,-3.77853679656982
"DA62906","nonHR",6.54331064224243,2.87076425552368,2.55874109268188,-2.24496150016785,0.48028489947319,1.37387073040009,-1.72406268119812,-1.12496995925903,0.284622848033905,0.642482459545135
"DA62908","nonHR",-4.32425355911255,1.83899199962616,-3.02402496337891,1.42774558067322,0.154357507824898,1.58386516571045,1.20668768882751,1.7330619096756,1.0654581785202,-3.49469232559204
"DA62910","nonHR",-0.346171021461487,-5.24331045150757,1.14869976043701,-0.426819860935211,1.06533372402191,-2.11698842048645,-0.169562414288521,0.0640241280198097,-1.92173337936401,3.44117379188538
"DA62912","nonHR",6.28151273727417,3.19171619415283,1.8244720697403,-2.20584297180176,0.0823239684104919,1.45136213302612,-1.40816450119019,-1.01035535335541,0.0155896013602614,0.485867887735367
"DA62914","nonHR",6.74027872085571,2.25759744644165,2.57947874069214,-2.45924830436707,0.689209342002869,1.40143775939941,-1.7011433839798,-0.529969453811646,0.278360724449158,0.542008578777313
"DA62916","HR",4.47130632400513,2.5157356262207,1.77442312240601,-1.93297076225281,0.289225995540619,1.11706054210663,-0.823106408119202,-1.05447101593018,0.875690400600433,0.278054624795914
"DA62918","nonHR",-5.28625583648682,0.803344309329987,-3.18417549133301,1.0571813583374,-0.645185530185699,1.21583569049835,1.25299346446991,0.980989933013916,1.35488677024841,-4.32725858688354
"DA62920","HR",-4.89771509170532,1.43427884578705,-2.78388524055481,0.396378487348557,-1.00721740722656,1.00522232055664,1.42636835575104,0.589390575885773,1.24543368816376,-3.13863587379456
"DA62922","nonHR",7.82386922836304,4.87761259078979,4.78624629974365,0.71418571472168,-2.68299889564514,-0.80218094587326,-0.722041249275208,-2.71685886383057,-0.413156628608704,3.05196332931519
"DA62924","nonHR",8.02636337280273,5.32285404205322,4.33068513870239,0.846064627170563,-2.7293529510498,-0.962720990180969,-0.695433974266052,-3.31805396080017,-0.450826436281204,3.49976396560669
"DA62926","nonHR",6.56708574295044,2.38672614097595,2.24499130249023,-2.32816004753113,0.927916049957275,1.25498008728027,-1.90829765796661,-0.61415433883667,0.133068189024925,0.185116693377495
"DA62928","nonHR",5.64384412765503,2.5602011680603,2.39329648017883,-2.57371878623962,0.769889295101166,1.46100437641144,-1.35488295555115,-1.05900704860687,0.562439322471619,0.462546706199646
"DA62932","nonHR",-5.94063758850098,1.05752658843994,-3.42898797988892,2.14532732963562,-0.0525761805474758,1.12819516658783,0.915242791175842,1.25367307662964,1.44273269176483,-4.19273900985718
"DA62934","nonHR",5.76365232467651,2.36768484115601,2.63422322273254,-2.43419599533081,0.962548792362213,1.31729876995087,-1.57190191745758,-0.986774623394012,0.578912615776062,0.34956282377243
"DA62936","nonHR",-5.86158323287964,1.09915590286255,-3.42405652999878,2.12001919746399,-0.0451514422893524,1.1575562953949,0.925285518169403,1.29413163661957,1.41622447967529,-4.13111162185669
"DA62938","nonHR",-4.48257637023926,1.21216821670532,-2.72784090042114,0.489738792181015,-1.04398393630981,1.08874869346619,1.35066068172455,0.485465109348297,1.25802171230316,-4.08732604980469
"DA62940","nonHR",6.71029567718506,2.41454148292542,2.37181568145752,-2.38892841339111,0.724516272544861,1.32562041282654,-1.77419030666351,-0.549358427524567,0.163669973611832,0.512570261955261
"DA62942","nonHR",-6.43990612030029,1.42536675930023,-3.30964803695679,1.74770486354828,0.100393034517765,1.19091153144836,1.05031394958496,1.59621179103851,1.50009715557098,-4.08512115478516
"DA62944","nonHR",-6.25405693054199,0.694962203502655,-3.48951601982117,1.31427752971649,-0.602680206298828,1.08691787719727,1.1481728553772,1.05062961578369,1.47640240192413,-4.2802038192749
"DA62946","HR",-1.05358624458313,-11.1647529602051,2.600093126297,-0.169541895389557,2.05058860778809,-4.33891201019287,-0.714082419872284,0.514605343341827,-3.9061381816864,6.52291870117188
"DA62948","nonHR",3.58927130699158,2.79715490341187,1.11945748329163,-1.42671573162079,-0.298666417598724,0.857770502567291,-0.404752612113953,-1.18420648574829,1.16233336925507,0.150525838136673
"DA62950","nonHR",-6.81376361846924,1.44349634647369,-3.53516030311584,2.01275277137756,0.295197933912277,1.14608097076416,0.959923505783081,1.89510297775269,1.49456870555878,-3.79022574424744
"DA62952","nonHR",5.94133949279785,2.33745074272156,2.27538990974426,-2.46688151359558,0.79863041639328,1.45871138572693,-1.33435952663422,-0.660763800144196,0.482972264289856,0.410112500190735
"DA62954","HR",-5.01791477203369,1.78073000907898,-2.42847800254822,0.905600368976593,-0.0664701387286186,1.13489663600922,1.30453562736511,1.22813987731934,1.11711478233337,-3.4765830039978
"DA62956","HR",3.38446855545044,2.64492344856262,0.967837750911713,-1.39700543880463,-0.106572575867176,0.761705935001373,-0.551901698112488,-1.04400336742401,1.32521855831146,0.310599833726883
"DA62958","HR",4.18878889083862,2.59108734130859,1.70868051052094,-1.31119120121002,-0.298846691846848,0.690820753574371,-0.483423590660095,-1.30321371555328,0.785461664199829,0.644254207611084
"DA62960","nonHR",-4.44412040710449,1.25688099861145,-2.71097850799561,0.457228392362595,-1.03719162940979,1.09349179267883,1.38801896572113,0.4825619161129,1.24683010578156,-3.99257802963257
"DA62962","nonHR",6.44888734817505,3.21153330802917,1.67709815502167,-2.21044778823853,0.134788736701012,1.54583728313446,-1.60132348537445,-0.970282077789307,-0.152445867657661,0.302115112543106
"DA62964","nonHR",8.36336231231689,5.21006059646606,4.65375661849976,0.661674439907074,-2.55554723739624,-0.737009227275848,-0.906278610229492,-2.92992472648621,-0.248756185173988,3.26194500923157
"DA62966","nonHR",-6.0344123840332,1.80703151226044,-2.92666912078857,1.01373636722565,-0.316487282514572,1.03097498416901,1.34194719791412,1.24024283885956,1.44301354885101,-3.79111289978027
"DA62968","nonHR",-6.31322288513184,0.813265681266785,-3.79018259048462,1.81522536277771,-0.0142257371917367,1.21981692314148,0.97582620382309,1.73933792114258,1.5692617893219,-4.08245277404785
"DA62972","nonHR",-6.3440113067627,0.967473030090332,-3.31520366668701,0.987422347068787,-0.751488268375397,1.04485309123993,1.29953765869141,0.93142956495285,1.46442830562592,-4.00441884994507
"DA62974","nonHR",-5.87280464172363,0.690152168273926,-3.30045866966248,0.979444265365601,-0.891190648078918,1.01584994792938,1.20132088661194,0.731379866600037,1.4747474193573,-4.41758108139038
"DA62976","nonHR",-5.07918691635132,1.1368066072464,-3.1356520652771,0.507333517074585,-0.962182581424713,1.19716358184814,1.55141890048981,0.71890789270401,1.22639143466949,-3.32600617408752
"DA62978","HR",-1.15531206130981,-11.127064704895,2.51061749458313,0.0848843902349472,2.38458967208862,-4.8194751739502,-0.83576375246048,0.178236111998558,-4.56126165390015,7.00692749023438
"DA62980","nonHR",6.60515832901001,2.35102272033691,2.2549409866333,-2.22584891319275,0.767561256885529,1.2400643825531,-1.95430731773376,-0.531058549880981,0.0299879033118486,0.157687902450562
"DA62982","nonHR",-6.26205110549927,0.942018687725067,-3.49850273132324,0.990919589996338,-0.779430270195007,0.907286167144775,1.31320238113403,1.02640306949615,1.42163503170013,-3.79641270637512
