"strain","resistance","UMAP1","UMAP2","UMAP3","UMAP4","UMAP5","UMAP6","UMAP7","UMAP8"
"DA62886","HR",10.6112289428711,-2.15163135528564,1.09228670597076,0.581244647502899,-1.57779097557068,0.5382319688797,-2.17022609710693,-0.726466298103333
"DA62888","nonHR",9.22699069976807,-1.57761645317078,0.299201428890228,0.045905489474535,-1.59792125225067,0.949724495410919,-0.896172881126404,-0.837217330932617
"DA62890","nonHR",9.99400520324707,-1.74721741676331,0.519713819026947,0.103884637355804,-1.80021584033966,-0.192680567502975,-0.785148561000824,-0.319481611251831
"DA62892","nonHR",-10.9699249267578,0.701972305774689,-3.09406924247742,-2.71973371505737,2.50163102149963,-0.758216917514801,-0.166950851678848,3.0583484172821
"DA62894","nonHR",9.80898094177246,-2.20031070709229,0.696215033531189,0.364496678113937,-0.614150285720825,-0.391042292118073,-1.31236529350281,-1.42334687709808
"DA62896","nonHR",10.2241086959839,-2.64008569717407,1.13773655891418,0.218508332967758,-0.654877185821533,0.537205755710602,-1.58034670352936,-1.43817055225372
"DA62898","nonHR",10.2528476715088,-1.25680899620056,0.455774217844009,0.316601604223251,-2.21028733253479,0.602640092372894,-1.38384664058685,-0.286983549594879
"DA62900","nonHR",-16.9738903045654,-2.70920252799988,-1.17319965362549,1.29401004314423,4.07641792297363,-0.350238144397736,0.156426250934601,2.91154265403748
"DA62902","nonHR",5.8920750617981,-0.579700708389282,0.097024105489254,-0.272889941930771,-1.05455577373505,-0.617215871810913,-0.0648270919919014,-0.693049490451813
"DA62904","nonHR",10.904580116272,-1.20697236061096,0.376086175441742,0.282270640134811,-2.94442701339722,0.0600780956447124,-1.1398857831955,0.485336810350418
"DA62906","nonHR",-16.6945343017578,-2.46075177192688,-1.54816508293152,0.945641756057739,4.0147852897644,-0.595736086368561,0.3060382604599,2.59406208992004
"DA62908","nonHR",9.05641460418701,-1.60959553718567,0.426726311445236,-0.0179374162107706,-1.44851624965668,0.827169716358185,-0.667098045349121,-1.0361430644989
"DA62914","nonHR",-17.0553245544434,-2.65769720077515,-1.17861473560333,1.5160950422287,4.08019924163818,-0.535403430461884,0.0778813138604164,2.82097291946411
"DA62916","nonHR",-16.2634792327881,-2.44591188430786,-1.18522357940674,1.89234483242035,4.77516508102417,-0.91164219379425,0.492390602827072,1.60440468788147
