"strain","sulfonamide.resistant.sul","TEM.beta.lactamase","ampC.type.beta.lactamase","APH3","trimethoprim.resistant.dihydrofolate.reductase.dfr","streptothricin.acetyltransferase.SAT","ANT3","CTX.M.beta.lactamase","chloramphenicol.acetyltransferase.CAT","AAC3","AAC6.Ib.cr","OXA.beta.lactamase","ANT2","fosfomycin.thiol.transferase","SHV.beta.lactamase","tetracycline.resistant.ribosomal.protection.protein","APH6","macrolide.phosphotransferase.MPH","quinolone.resistance.protein.qnr"
"DA63030",2,1,1,1,1,0,1,1,0,2,1,1,0,0,0,0,1,1,0
"DA63032",0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63034",1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63036",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63038",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63040",0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63042",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63044",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63046",3,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"DA63048",2,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"DA63050",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63052",0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63054",2,0,3,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"DA63056",1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63058",0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63060",0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"DA63062",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63064",1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"DA63066",1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63068",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63072",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63074",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63078",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63080",1,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"DA63082",3,2,3,4,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
"DA63088",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63090",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63092",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63094",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63096",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63100",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63102",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63104",0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"DA63106",0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"DA63108",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63110",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63112",0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63114",1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"DA63118",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63122",1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"DA63124",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63126",2,2,3,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"DA63128",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63130",0,1,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"DA63134",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63136",1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"DA63138",0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"DA63140",1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"DA63142",0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"DA63144",1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63146",1,1,2,4,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
"DA63148",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63150",1,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0
"DA63152",0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63154",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63156",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63158",0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
"DA63160",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63162",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63164",3,2,2,1,3,0,2,0,1,1,0,0,0,0,0,0,1,1,0
"DA63166",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63168",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63170",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63172",2,1,3,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"DA63174",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63176",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63178",2,1,3,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"DA63180",0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"DA63182",1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"DA63184",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63186",0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63188",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63190",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63192",1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63194",1,1,2,2,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
"DA63196",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63198",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"DA63200",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63202",1,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0
"DA63204",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63210",1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"DA63212",1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"DA63214",0,1,3,2,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0
"DA63216",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63218",1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"DA63220",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63222",0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63224",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63226",1,1,2,2,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
"DA63228",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63230",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63232",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63234",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63236",0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"DA63238",2,1,3,2,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0
"DA63240",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63242",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63244",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63246",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63248",1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"DA63250",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63252",4,3,3,3,1,0,1,0,0,0,0,0,0,0,0,0,3,3,0
"DA63254",2,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"DA63256",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63258",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63260",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63262",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63264",1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"DA63266",0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63268",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63270",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63272",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63274",1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"DA63276",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63278",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63282",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63284",0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63286",2,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"DA63288",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63290",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63292",0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
