"strain","sulfonamide.resistant.sul","TEM.beta.lactamase","ampC.type.beta.lactamase","APH3","trimethoprim.resistant.dihydrofolate.reductase.dfr","streptothricin.acetyltransferase.SAT","ANT3","CTX.M.beta.lactamase","chloramphenicol.acetyltransferase.CAT","AAC3","AAC6.Ib.cr","OXA.beta.lactamase","ANT2","fosfomycin.thiol.transferase","SHV.beta.lactamase","tetracycline.resistant.ribosomal.protection.protein","APH6","macrolide.phosphotransferase.MPH","quinolone.resistance.protein.qnr"
"DA63708",3,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"DA63710",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63712",2,0,3,0,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0
"DA63714",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63716",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63718",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63720",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63722",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63724",2,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"DA63726",0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"DA63728",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63730",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63732",1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63734",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63736",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63738",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63740",2,0,3,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0
"DA63742",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63746",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63748",1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"DA63750",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63752",1,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
"DA63756",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63758",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63760",0,0,3,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
"DA63762",2,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"DA63764",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63766",2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"DA63770",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63772",1,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0
"DA63774",0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"DA63776",2,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"DA63778",0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63780",1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"DA63782",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63784",2,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"DA63786",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63790",0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63792",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63794",1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
"DA63796",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63798",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63800",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63802",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63804",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63806",0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63808",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63810",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63812",0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63814",1,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"DA63816",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63818",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63820",1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63822",2,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0
"DA63824",0,0,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"DA63826",2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"DA63828",0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63830",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63832",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63834",1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"DA63836",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63838",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63840",0,1,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"DA63842",1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63844",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63846",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63848",0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63850",0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63852",0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63854",1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63856",1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63858",1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63860",1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"DA63862",2,3,3,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0
"DA63864",1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63866",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63868",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63870",2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"DA63872",1,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"DA63874",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63876",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63878",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63880",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"DA63882",0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63884",1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0
"DA63886",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63888",1,1,3,2,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
"DA63890",1,1,3,1,1,0,1,2,0,1,0,0,0,0,0,0,1,1,0
"DA63892",1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"DA63894",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63896",2,1,3,2,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0
"DA63898",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63900",2,1,3,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
"DA63902",1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63904",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63906",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63908",0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63910",2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"DA63912",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63914",1,1,3,2,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0
"DA63916",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63918",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63920",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63922",1,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"DA63924",2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"DA63926",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63928",0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"DA63930",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63932",0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"DA63934",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63936",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63938",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63940",4,1,1,1,2,0,1,1,0,1,1,1,0,0,0,0,1,1,0
"DA63942",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63946",1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63948",1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63950",2,2,3,4,1,1,0,1,0,0,0,0,0,0,0,0,3,0,0
"DA63952",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63954",0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63956",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63958",1,1,3,2,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0
"DA63960",1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"DA63962",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63964",1,1,3,2,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0
"DA63966",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63968",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63970",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63972",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63974",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63976",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63978",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63980",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63982",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63984",0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63986",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63988",1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"DA63990",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63992",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63994",2,0,3,2,1,1,0,2,0,1,1,1,0,0,0,0,2,0,0
"DA63996",1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"DA63998",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA64000",0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA64002",1,0,3,0,1,0,1,0,2,0,1,1,0,0,0,0,0,1,0
"DA64004",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA64006",1,0,3,0,1,0,1,0,2,0,1,1,0,0,0,0,0,1,0
"DA64008",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA64010",4,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0
"DA64012",0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA64014",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA64016",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA64018",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA64020",1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"DA64022",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA64024",1,1,3,3,1,0,0,2,0,0,0,0,0,0,0,0,2,1,0
"DA64026",1,0,1,0,1,0,1,2,0,1,1,1,0,0,0,0,0,1,0
"DA64028",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA64030",0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA64032",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA64034",0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA64036",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA64038",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA64040",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA64042",0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA64044",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA64046",1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"DA64048",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA64050",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA64052",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA64054",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA64056",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA64058",2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"DA64060",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA64062",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA64066",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
