"strain","ampC","DFR","APH6","APH3.1","SUL","TEM","SAT","ANT3","MPH","APH3.2","CTX.M","CAT","AAC3","OXA","AAC6","ANT2","FTT","SHV","TR.RPP","APH4","QNR"
"DA63754",3,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"DA63758",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63760",3,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0
"DA63762",3,1,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"DA63766",2,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63770",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63772",1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0
"DA63776",3,1,1,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"DA63780",2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"DA63784",2,1,1,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"DA63786",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63790",1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63796",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63800",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63804",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63808",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63810",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63814",3,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"DA63816",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63818",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63822",1,1,1,1,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"DA63826",3,0,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"DA63828",1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63832",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63834",3,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"DA63836",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63838",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63842",3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63848",2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63850",2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63854",3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63862",3,1,1,1,2,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"DA63864",2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63870",3,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63874",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63876",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63878",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63880",1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"DA63882",2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63884",1,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0
"DA63886",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63888",3,0,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
"DA63890",3,1,1,1,1,1,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0
"DA63892",3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"DA63894",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63896",3,1,1,1,2,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
"DA63898",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63900",3,1,1,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"DA63902",2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63906",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63908",3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63914",3,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0
"DA63916",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63918",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63920",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63922",3,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"DA63924",3,1,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"DA63926",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63928",2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"DA63932",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"DA63934",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63938",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63940",1,2,1,1,4,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0
"DA63942",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63946",3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63950",3,1,3,3,3,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"DA63954",3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63958",3,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0
"DA63960",1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"DA63964",3,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0
"DA63966",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63968",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63972",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63974",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63978",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63980",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63988",2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63992",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63994",3,1,1,1,1,0,1,0,0,0,2,0,1,1,1,0,0,0,0,0,0
"DA63996",3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA64000",2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA64002",3,1,0,0,1,0,0,1,1,0,0,2,0,1,1,0,0,0,0,0,0
"DA64004",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA64006",3,1,0,0,1,0,0,1,1,0,0,2,0,1,1,0,0,0,0,0,0
"DA64008",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA64010",3,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA64014",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA64016",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA64024",3,1,2,2,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0
"DA64026",1,1,0,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0
"DA64030",3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"DA64034",3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA64044",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA64046",2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA64048",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA64058",1,1,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"DA64060",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
