"strain","ampC","DFR","APH6","APH3.1","SUL","TEM","SAT","ANT3","MPH","APH3.2","CTX.M","CAT","AAC3","OXA","AAC6","ANT2","FTT","SHV","TR.RPP","APH4","QNR"
"DA63050",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63052",2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63054",3,1,1,1,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"DA63056",2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63058",2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63060",2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"DA63064",2,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"DA63066",2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63068",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63072",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63074",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63078",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63080",3,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"DA63082",3,0,1,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"DA63084",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63088",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63090",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63092",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63094",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63096",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
