"strain","resistance","UMAP1","UMAP2","UMAP3","prediction"
"DA63056","nonHR",-7.28752613067627,-2.84255766868591,6.58877897262573,"COR"
"DA63058","nonHR",-5.10439586639404,-1.43557870388031,1.37262880802155,"COR"
"DA63060","nonHR",-6.33695507049561,-1.73389005661011,2.50253558158875,"COR"
"DA63062","nonHR",13.2363119125366,2.9612352848053,-2.264892578125,"COR"
"DA63064","nonHR",-8.07008361816406,-1.78013813495636,4.76603651046753,"COR"
"DA63066","nonHR",-7.30863618850708,-2.99173760414124,6.58745145797729,"COR"
"DA63068","nonHR",12.8770599365234,-4.30911540985107,-4.14872360229492,"COR"
"DA63072","HR",-9.90752029418945,-0.893251419067383,5.01722431182861,"FN"
"DA63074","nonHR",-7.57285737991333,-2.86751675605774,6.52200889587402,"COR"
"DA63078","nonHR",14.1702280044556,-4.28472185134888,-4.14017534255981,"COR"
"DA63080","nonHR",12.0151147842407,-4.68843412399292,-3.37407326698303,"COR"
"DA63082","HR",4.74420595169067,4.17717504501343,-6.19043016433716,"COR"
"DA63084","nonHR",-8.48056602478027,-2.57551074028015,5.46539402008057,"COR"
"DA63088","nonHR",-7.60019254684448,-0.713162958621979,5.17128372192383,"COR"
"DA63090","nonHR",12.9343042373657,3.20749664306641,-1.91886508464813,"COR"
"DA63092","nonHR",13.9777517318726,-4.24858999252319,-4.13622713088989,"COR"
"DA63094","nonHR",-8.65331649780273,-1.00441312789917,5.5430588722229,"COR"
"DA63096","nonHR",13.1770191192627,-4.23662424087524,-4.47887468338013,"COR"
"DA63100","nonHR",-7.53227090835571,-1.7622401714325,6.01884841918945,"COR"
"DA63102","nonHR",-7.65357828140259,-0.611408174037933,5.55945777893066,"COR"
"DA63104","nonHR",13.0665035247803,-4.02652978897095,-3.91816210746765,"COR"
"DA63106","HR",-4.50740909576416,-2.27079701423645,1.11728656291962,"COR"
"DA63108","nonHR",13.7551412582397,-4.51923370361328,-4.72001361846924,"COR"
"DA63110","nonHR",-7.57359313964844,-2.62611699104309,6.4610071182251,"COR"
"DA63112","nonHR",-6.25829553604126,-1.66447925567627,2.36690974235535,"FP"
"DA63118","nonHR",13.221941947937,-4.09888362884521,-4.43852376937866,"COR"
"DA63120","nonHR",-4.46650505065918,-2.22073602676392,1.05817580223083,"COR"
"DA63122","HR",-4.98392152786255,-2.44261050224304,0.870568037033081,"COR"
"DA63124","nonHR",-7.67536449432373,-3.19825100898743,5.72476720809937,"COR"
"DA63126","HR",-7.93965625762939,-0.168256461620331,5.4318733215332,"COR"
"DA63128","nonHR",-9.08066940307617,-1.94414925575256,5.22899103164673,"COR"
"DA63130","nonHR",-4.73227787017822,-1.66810858249664,1.49620985984802,"COR"
"DA63134","nonHR",12.5641775131226,-4.59346675872803,-4.45882129669189,"COR"
"DA63136","nonHR",13.5970602035522,-5.5577712059021,-4.22237348556519,"COR"
"DA63138","HR",-9.53509902954102,-0.80088084936142,5.51447248458862,"COR"
"DA63140","nonHR",14.1674871444702,-4.74683284759521,-4.09274578094482,"COR"
"DA63142","nonHR",-4.94436597824097,-2.43250775337219,0.953558504581451,"COR"
"DA63144","HR",12.5443344116211,-4.32959127426147,-4.49563550949097,"COR"
"DA63146","HR",-4.79132413864136,-1.45493149757385,1.07733190059662,"COR"
"DA63148","nonHR",-8.45700454711914,-1.35848426818848,4.7316746711731,"COR"
"DA63150","HR",-7.05894088745117,-0.81282252073288,4.70648527145386,"COR"
"DA63152","nonHR",-4.63857412338257,-2.08258199691772,1.17062735557556,"FP"
"DA63154","nonHR",12.6860809326172,-5.16630411148071,-4.24341106414795,"COR"
"DA63156","nonHR",13.3267431259155,3.49830102920532,-1.96299088001251,"COR"
"DA63158","nonHR",-7.86288642883301,-1.76468312740326,4.92888212203979,"COR"
"DA63160","HR",-7.24013328552246,-0.757472217082977,5.95708036422729,"COR"
"DA63162","nonHR",-7.19151210784912,-0.662417352199554,5.35107231140137,"COR"
"DA63164","HR",13.9269180297852,-3.80588102340698,-3.25122380256653,"COR"
"DA63166","nonHR",13.4467144012451,-4.32863616943359,-4.5409893989563,"COR"
"DA63168","nonHR",-7.46636295318604,-0.489825487136841,5.27343416213989,"COR"
"DA63170","nonHR",-7.21688318252563,-2.1153199672699,4.94595241546631,"COR"
"DA63172","nonHR",12.7344951629639,2.32863306999207,-1.1996454000473,"COR"
"DA63174","nonHR",-7.84001588821411,-2.79416728019714,6.19103765487671,"COR"
"DA63176","nonHR",12.7482070922852,-4.5199613571167,-4.21687316894531,"COR"
"DA63178","nonHR",-5.12863397598267,-2.0634503364563,2.29710030555725,"COR"
