"strain" "tot_plasmids"
"DA63170" 8
"DA63174" 4
"DA63190" 2
"DA63196" 1
"DA63198" 10
"DA63200" 5
"DA63206" 1
"DA63214" 22
"DA63216" 2
"DA63234" 0
"DA63236" 0
"DA63238" 0
"DA63244" 1
"DA63246" 4
"DA63260" 1
"DA63278" 16
"DA63282" 1
"DA63284" 5
"DA63286" 8
"DA63292" 1
"DA63294" 0
"DA63302" 8
"DA63304" 0
"DA63318" 0
"DA63320" 9
"DA63330" 3
"DA63334" 1
"DA63338" 1
"DA63342" 1
"DA63344" 1
"DA63356" 1
"DA63364" 87
"DA63370" 0
"DA63372" 5
"DA63376" 25
"DA63384" 9
"DA63568" 39
"DA63572" 0
"DA63576" 1
"DA63578" 9
"DA63584" 9
"DA63586" 1
"DA63590" 1
"DA63592" 8
"DA63594" 7
"DA63600" 3
"DA63602" 1
"DA63606" 3
"DA63608" 10
"DA63616" 1
"DA63628" 9
"DA63638" 24
"DA63648" 1
"DA63650" 7
"DA63654" 2
"DA63664" 1
"DA63666" 5
"DA63676" 11
"DA63678" 1
"DA63700" 3
"DA63708" 12
"DA63720" 1
"DA63724" 11
"DA63738" 1
"DA63740" 16
"DA63742" 43
"DA63750" 5
"DA63756" 2
"DA63762" 0
"DA63764" 1
"DA63766" 21
"DA63772" 4
"DA63774" 2
"DA63776" 10
"DA63784" 1
"DA63788" 15
"DA63792" 8
"DA63794" 1
"DA63796" 0
"DA63798" 2
"DA63804" 0
"DA63812" 15
"DA63814" 4
"DA63830" 22
"DA63840" 5
"DA63844" 1
"DA63852" 21
"DA63856" 1
"DA63858" 1
"DA63860" 0
"DA63866" 20
"DA63868" 0
"DA63870" 1
"DA63872" 7
"DA63874" 0
"DA63878" 0
"DA63888" 1
"DA63892" 7
"DA63896" 6
"DA63900" 62
"DA63904" 0
"DA63906" 7
"DA63910" 10
"DA63914" 29
"DA63916" 0
"DA63928" 1
"DA63930" 10
"DA63936" 6
"DA63946" 5
"DA63948" 4
"DA63952" 4
"DA63954" 32
"DA63956" 0
"DA63958" 24
"DA63960" 2
"DA63962" 23
"DA63964" 24
"DA63974" 0
"DA63976" 3
"DA63986" 14
"DA63996" 8
"DA63998" 14
"DA64000" 4
"DA64006" 43
"DA64018" 12
"DA64020" 135
"DA64022" 33
"DA64026" 1
"DA64028" 7
"DA64030" 78
"DA64032" 2
"DA64034" 9
"DA64038" 1
"DA64040" 10
"DA64048" 2
"DA64052" 0
"DA64054" 1
"DA64056" 11
"DA64062" 1
"DA64066" 0
"DA62916" 2
"DA62928" 5
"DA62934" 15
"DA63016" 1
"DA63068" 68
"DA63096" 1
"DA63104" 22
"DA63118" 0
"DA63134" 2
"DA63144" 3
"DA63148" 1
"DA63176" 7
"DA63180" 1
"DA63184" 4
"DA63202" 9
"DA63232" 0
"DA63310" 1
"DA63326" 6
"DA63332" 6
"DA63656" 13
"DA63736" 3
"DA63752" 2
"DA63808" 24
"DA63834" 7
"DA63980" 0
"DA63988" 2
"DA64024" 31
