"resistance","n.plasmids","n.beta.lac.3","n.beta.lac","min.dist.oriC.chrom","min.dist.oriC.plasmid","min.dist.oriC","med.dist.oriC.chrom","med.dist.oriC.plasmid","med.dist.oriC","n.genes.plus.chrom","n.genes.plus.plasmid","n.genes.plus","n.genes.plasmids","n.rep.chrom","n.rep.plasmid","n.rep.total","n.rep.cen.chrom","n.rep.cen.plasmid","n.rep.tot.cen","n.rep.100.chrom","n.rep.100.plasmid","n.rep.100.total","n.rep.100.cen.chrom","n.rep.100.cen.plasmid","n.rep.100.cen.tot","med.tot.rep.len.chrom","med.tot.rep.len.plasmid","med.tot.rep.len","med.rep.len.chrom","med.rep.len.plasmid","med.rep.len","max.rep.len.chrom","max.rep.len.plasmid","max.rep.len","max.rep.len.cen.chrom","max.rep.len.cen.plasmid","max.rep.len.cen","med.AR.len.chrom","med.AR.len.plasmid","med.AR.len","med.AR.len.cen.chrom","med.AR.len.cen.plasmid","med.AR.len.cen","min.AR.len.cen.chrom","min.AR.len.cen.plasmid","min.AR.len.cen","n.rep.chrom.ampC","n.rep.plasmid.ampC","n.rep.total.ampC","med.AR.len.chrom.ampC","med.AR.len.plasmid.ampC","med.AR.len.ampC","med.rep.len.chrom.ampC","med.rep.len.plasmid.ampC","med.rep.len.ampC","ampC.type.beta.lactamase","trimethoprim.resistant.dihydrofolate.reductase.dfr","APH.6.","APH.3...","sulfonamide.resistant.sul","TEM.beta.lactamase","streptothricin.acetyltransferase..SAT.","ANT.3...","macrolide.phosphotransferase..MPH.","APH.3..","CTX.M.beta.lactamase","chloramphenicol.acetyltransferase..CAT.","AAC.3.","OXA.beta.lactamase","AAC.6...Ib.cr","ANT.2...","fosfomycin.thiol.transferase","SHV.beta.lactamase","tetracycline.resistant.ribosomal.protection.protein","quinolone.resistance.protein..qnr."
"HR",-0.626814632545135,0,0.219353569395607,-0.828609357924066,-0.259283215426238,-0.869981603969348,-1.1612655869686,-0.328809828465586,-1.25852523903436,-0.230286971526454,-0.552841373898541,-0.598678031744989,0.302291518544717,-0.468032023572864,-0.4101546528816,-0.631467100559283,-0.327164707681151,-0.424071375942337,-0.521860928387569,-0.0154732538913094,-0.326870841905311,-0.272193618861485,0.279321465250969,-0.253171954483033,-0.00719153582504686,0.571806222111971,-0.314494323417389,0.46498187582176,-0.184871695970687,-0.34473908482125,-0.22110402044213,2.70547128113083,-0.584860713371182,1.84894507635166,3.53996225940252,-0.40909933529616,2.6791209775361,-0.323220722036283,-0.410683887411905,-0.264403203273859,-0.17342546160504,-0.502400999300764,-0.203059377085015,0.153330999680528,-0.45804007177247,0.362770350838487,-0.438713094898789,-0.296786977788737,-0.543972513128893,-0.355732224344399,-0.280837969504264,-0.432985695912546,-0.383067510644077,-0.396566438885437,-0.525601360881512,-0.280279548227144,1.64900251999223,1.57357182488523,-0.556858370664689,0.73943590639208,1.01155947500673,-0.141830620951482,-0.356410830942486,-0.419351660830173,-0.244358520011012,-0.299007545672272,-0.278130775914452,-0.320755071752784,-0.231127879868051,-0.224282419204412,-0.106753394927237,-0.0752712949800336,-0.0752712949800336,-0.0531494003452734,-0.0752712949800336
"nonHR",-1.01473837366573,0,-0.763572551693568,1.28948769712436,-0.295349689459229,1.25056873903216,1.0216941454236,-0.361355303433501,0.994445698182113,0.901957305145277,-0.552841373898541,0.435136715756114,-0.716862743977472,-0.194339772515238,-0.434995499266559,-0.452692825448929,-0.404272767946882,-0.424071375942337,-0.589829570274692,0.796012950186251,-0.326870841905311,0.234946071017282,-0.200677557558948,-0.253171954483033,-0.32541699608337,-0.21298963987299,-0.314494323417389,-0.253274915017969,-0.00990652700714709,-0.34473908482125,-0.0442121137466576,-0.200838581146095,-0.584860713371182,-0.540371710852396,-0.260963152410796,-0.40909933529616,-0.462968977590154,-0.753951107249508,-0.410683887411905,-0.771602136449476,-0.853090267842239,-0.502400999300764,-0.912904901088021,-0.126005009053505,-0.45804007177247,0.0332778190607439,-0.136403982965346,-0.296786977788737,-0.24295944418987,-0.785326409283643,-0.280837969504264,-0.893817996170571,0.425994920397188,-0.396566438885437,0.426021116391619,-0.280279548227144,-0.587575610571944,-0.552551938509319,-0.556858370664689,-0.631036925350309,-0.718353830077242,-0.141830620951482,-0.356410830942486,-0.419351660830173,-0.244358520011012,-0.299007545672272,-0.278130775914452,-0.320755071752784,-0.231127879868051,-0.224282419204412,-0.106753394927237,-0.0752712949800336,-0.0752712949800336,-0.0531494003452734,-0.0752712949800336
"nonHR",0.924880331937227,0,-0.763572551693568,-0.99557556468263,-0.295349689459229,-1.04289275258045,-1.31615063777728,-0.361355303433501,-1.42442132541346,-1.36253124819818,-0.552841373898541,-1.63249277924609,-0.716862743977472,-0.144577545050215,-0.434995499266559,-0.416937970426859,-0.481380828212612,-0.424071375942337,-0.657798212161815,-0.0154732538913094,-0.326870841905311,-0.272193618861485,-0.200677557558948,-0.253171954483033,-0.32541699608337,-0.232502823698568,-0.314494323417389,-0.271133669724163,-0.0479424333035687,-0.34473908482125,-0.0826668760717603,-0.188311383463867,-0.584860713371182,-0.530072931597206,-0.260963152410796,-0.40909933529616,-0.462968977590154,1.3314875922879,-0.410683887411905,1.68406925317146,-0.853992290672111,-0.502400999300764,-0.913846978509799,-0.126137521391614,-0.45804007177247,0.0331215133056311,-0.0814386898865386,-0.296786977788737,-0.188229795291865,1.2946112248469,-0.280837969504264,1.33736314624915,0.250111783214304,-0.396566438885437,0.219146664810503,-0.280279548227144,-0.587575610571944,-0.552551938509319,-0.556858370664689,-0.631036925350309,-0.718353830077242,-0.141830620951482,-0.356410830942486,-0.419351660830173,-0.244358520011012,-0.299007545672272,-0.278130775914452,-0.320755071752784,-0.231127879868051,-0.224282419204412,-0.106753394927237,-0.0752712949800336,-0.0752712949800336,-0.0531494003452734,-0.0752712949800336
"nonHR",0.924880331937227,1,1.20227969048478,-1.33216281663991,0.340233540411211,-1.28676603338274,-1.92198791733494,1.3030218278506,-1.76266076428987,-1.36253124819818,2.39010368414783,0.435136715756114,3.35975430611128,-1.04029763942063,0.235707353127339,-0.577834818026177,-0.944029189806996,0.810478517837163,-0.385923644613324,-0.42121635593009,0.93601895928956,0.488515915956665,-0.200677557558948,2.25961884608688,1.58393576546657,-0.333727464793753,0.514891721498222,0.457726756722369,-0.534802033897766,0.816723608564375,0.594136940850047,-0.579159951149385,2.51614545199262,1.71506094603419,-0.365220510885299,4.08567402219329,2.51906153624832,-0.843226754274936,-0.324486389647332,-0.804793068681827,-1.62706344015676,1.22172448768763,-0.475476764882394,-1.50634186435688,-0.185219995828047,-1.27974262580499,-1.07081396530508,0.84025404101227,-0.762891108720911,-0.874366560931702,-0.258798805435609,-0.973367418866381,-2.00119237272661,4.61716639559474,3.86013701263813,1.11717059363777,1.64900251999223,1.57357182488523,1.56279607251058,0.73943590639208,1.01155947500673,-0.141830620951482,-0.356410830942486,-0.419351660830173,-0.244358520011012,-0.299007545672272,-0.278130775914452,-0.320755071752784,-0.231127879868051,-0.224282419204412,-0.106753394927237,-0.0752712949800336,-0.0752712949800336,-0.0531494003452734,-0.0752712949800336
"nonHR",0.924880331937227,0,0.219353569395607,-0.36577576787614,-0.295349689459229,-0.410778269999819,-0.372571970353209,-0.361355303433501,-0.448141232226354,0.901957305145277,-0.552841373898541,0.435136715756114,-0.716862743977472,2.61722607925856,-0.434995499266559,1.56745648329807,2.91137382347954,-0.424071375942337,2.33282203087158,2.41898535834137,-0.326870841905311,1.24922545077482,4.11931364773031,-0.253171954483033,2.53861214624154,3.21157412151593,-0.314494323417389,2.88093653591903,-0.0327280707850001,-0.34473908482125,-0.0672849711417192,7.31297458865435,-0.584860713371182,5.63683608641051,9.01794175181998,-0.40909933529616,7.20757193950881,0.764097590690715,-0.410683887411905,1.01594921013771,0.717942223588825,-0.502400999300764,0.727889755147918,-0.499689802521233,-0.45804007177247,-0.4075044103573,2.96913507598729,-0.296786977788737,2.84926571854738,0.728717910498622,-0.280837969504264,0.730320670130357,0.320465038087458,-0.396566438885437,0.30189644544295,1.11717059363777,-0.587575610571944,-0.552551938509319,-0.556858370664689,-0.631036925350309,-0.718353830077242,-0.141830620951482,-0.356410830942486,-0.419351660830173,-0.244358520011012,-0.299007545672272,-0.278130775914452,-0.320755071752784,-0.231127879868051,-0.224282419204412,-0.106753394927237,-0.0752712949800336,-0.0752712949800336,-0.0531494003452734,-0.0752712949800336
"nonHR",-0.626814632545135,0,0.219353569395607,-0.262977823842089,-0.295349689459229,-0.307602515525255,0.824527468413965,-0.361355303433501,0.79044585328328,0.901957305145277,-0.552841373898541,0.435136715756114,-0.716862743977472,1.89567378101573,-0.434995499266559,1.04901108547804,1.060780377102,-0.424071375942337,0.701574625580639,-0.0154732538913094,-0.326870841905311,-0.272193618861485,-0.200677557558948,-0.253171954483033,-0.32541699608337,0.0858059874561715,-0.314494323417389,0.0201872664206224,-0.139228608414981,-0.34473908482125,-0.174958305652007,-0.218376657901214,-0.584860713371182,-0.554790001809662,-0.252026807398696,-0.40909933529616,-0.455581618761487,-0.815065805837141,-0.410683887411905,-0.843566666905466,1.36134759127941,-0.502400999300764,1.39986572945676,2.35599525450975,-0.45804007177247,2.96093671424151,2.17213832634458,-0.296786977788737,2.05568580952631,-0.846279896729311,-0.280837969504264,-0.959203741166883,-0.172007746024617,-0.396566438885437,-0.277352018984173,1.11717059363777,-0.587575610571944,-0.552551938509319,-0.556858370664689,-0.631036925350309,-0.718353830077242,-0.141830620951482,-0.356410830942486,-0.419351660830173,-0.244358520011012,-0.299007545672272,-0.278130775914452,-0.320755071752784,-0.231127879868051,-0.224282419204412,-0.106753394927237,-0.0752712949800336,-0.0752712949800336,-0.0531494003452734,-0.0752712949800336
"nonHR",-0.238890891424544,0,-0.763572551693568,1.19607777615034,-0.295349689459229,1.15681551115913,0.927813708590784,-0.361355303433501,0.897311664970238,0.901957305145277,-0.552841373898541,0.435136715756114,-0.716862743977472,-0.39338868237533,-0.434995499266559,-0.595712245537212,-0.327164707681151,-0.424071375942337,-0.521860928387569,-0.42121635593009,-0.326870841905311,-0.525763463800869,-0.200677557558948,-0.253171954483033,-0.32541699608337,-0.200793899982004,-0.314494323417389,-0.242113193326598,-0.0479424333035687,-0.34473908482125,-0.0826668760717603,-0.35868127194217,-0.584860713371182,-0.670136329467789,-0.260963152410796,-0.40909933529616,-0.462968977590154,-0.325630076410445,-0.410683887411905,-0.267240295826808,-0.374867830871913,-0.502400999300764,-0.41344685464222,-0.126623399964681,-0.45804007177247,0.0325483922035509,-0.356265155280577,-0.296786977788737,-0.461878039781887,-0.3581352232136,-0.280837969504264,-0.435563429818717,0.250111783214304,-0.396566438885437,0.219146664810503,-0.280279548227144,-0.587575610571944,-0.552551938509319,-0.556858370664689,-0.631036925350309,-0.718353830077242,-0.141830620951482,-0.356410830942486,-0.419351660830173,-0.244358520011012,-0.299007545672272,-0.278130775914452,-0.320755071752784,-0.231127879868051,-0.224282419204412,-0.106753394927237,-0.0752712949800336,-0.0752712949800336,-0.0531494003452734,-0.0752712949800336
"nonHR",0.924880331937227,0,-0.763572551693568,1.41612328107211,-0.295349689459229,1.3776697432391,1.12631612735544,-0.361355303433501,1.10269354417113,-0.230286971526454,-0.552841373898541,-0.598678031744989,-0.716862743977472,-0.56755647850291,-0.434995499266559,-0.72085423811446,-0.481380828212612,-0.424071375942337,-0.657798212161815,-0.218344804910699,-0.326870841905311,-0.398978541331177,-0.200677557558948,-0.253171954483033,-0.32541699608337,-0.232502823698568,-0.314494323417389,-0.271133669724163,-0.124014245896412,-0.34473908482125,-0.159576400721966,-0.313583360286148,-0.584860713371182,-0.633060724149105,-0.260963152410796,-0.40909933529616,-0.462968977590154,-0.323272536108845,-0.410683887411905,-0.264464216016933,-0.853973498529822,-0.502400999300764,-0.913827351896845,-0.126137521391614,-0.45804007177247,0.0331215133056311,-0.548643681056404,-0.296786977788737,-0.653431810924902,-0.355783901739435,-0.280837969504264,-0.433041131050313,-0.101654491151463,-0.396566438885437,-0.194602238351727,-0.280279548227144,1.64900251999223,-0.552551938509319,-0.556858370664689,-0.631036925350309,-0.718353830077242,7.03074649573774,-0.356410830942486,-0.419351660830173,-0.244358520011012,-0.299007545672272,-0.278130775914452,-0.320755071752784,-0.231127879868051,-0.224282419204412,-0.106753394927237,-0.0752712949800336,-0.0752712949800336,-0.0531494003452734,-0.0752712949800336
"nonHR",1.31280407305782,1,1.20227969048478,-0.29427263169338,-0.041845224035388,-0.301539666043075,0.839365934034248,-0.132599278484703,0.845463662552124,0.901957305145277,-0.552841373898541,0.435136715756114,0.302291518544717,1.72150598488815,0.633160895286685,1.69259847587531,1.29210455789919,3.15612331601821,2.87657116596857,0.390269848147471,0.620296508990842,0.742085760896049,-0.200677557558948,1.84082037932523,1.26571030520825,-0.105667128832311,4.08936527377039,-0.0132978986534908,-0.0631567958221374,0.190145050290551,-0.0672849711417192,2.07159507841009,2.40415084730452,1.62237193273748,-0.255005589069396,3.92334272116037,2.40825115381832,0.819331392042489,0.455604620656307,0.25734726912495,0.760139979098762,-0.180384604297377,-0.542776420700637,-0.499689802521233,-0.0894240227240711,-1.16907815118514,1.97975980056875,-0.296786977788737,1.8641320383833,0.783806013607637,-0.280837969504264,0.789414526990101,0.179758528341151,-0.396566438885437,0.136396884178057,1.11717059363777,-0.587575610571944,1.57357182488523,1.56279607251058,0.73943590639208,1.01155947500673,-0.141830620951482,-0.356410830942486,-0.419351660830173,-0.244358520011012,-0.299007545672272,-0.278130775914452,-0.320755071752784,-0.231127879868051,-0.224282419204412,-0.106753394927237,-0.0752712949800336,-0.0752712949800336,-0.0531494003452734,-0.0752712949800336
"nonHR",-0.626814632545135,0,-1.74649867278274,1.81607165219024,-0.295349689459229,1.77908803354379,1.31065494760731,-0.361355303433501,1.29342095972917,-1.36253124819818,-0.552841373898541,-1.63249277924609,-0.716862743977472,-0.791486502095513,-0.434995499266559,-0.881751085713778,-0.635596948744074,-0.424071375942337,-0.79373549593606,-0.42121635593009,-0.326870841905311,-0.525763463800869,-0.200677557558948,-0.253171954483033,-0.32541699608337,-0.210550491894792,-0.314494323417389,-0.251042570679695,-0.139228608414981,-0.34473908482125,-0.174958305652007,-0.488964127837342,-0.584860713371182,-0.777243633721764,-0.287772187447097,-0.40909933529616,-0.485131054076154,0.417254188956404,-0.410683887411905,0.607529907999178,-0.762681271289888,-0.502400999300764,-0.818481266167762,0.367780133520459,-0.45804007177247,0.615725164529339,-0.795987499911039,-0.296786977788737,-0.899715230965922,0.382789428123632,-0.280837969504264,0.35923785791729,-0.172007746024617,-0.396566438885437,-0.277352018984173,-1.67772969009206,-0.587575610571944,-0.552551938509319,-0.556858370664689,-0.631036925350309,-0.718353830077242,-0.141830620951482,-0.356410830942486,-0.419351660830173,-0.244358520011012,-0.299007545672272,-0.278130775914452,-0.320755071752784,-0.231127879868051,-0.224282419204412,-0.106753394927237,-0.0752712949800336,-0.0752712949800336,-0.0531494003452734,-0.0752712949800336
